"asv","sample","clr","meas_var","phylum","abundance","id","age_class","sex"
"ASV1017","S9",2.88849367342822,0.104686536820492,"Firmicutes",20,"Sheep5","Adult","Male"
"ASV1018","S1",-4.72279113048729,9.94754047980811,"Tenericutes",0,"Sheep8","Adult","Female"
"ASV1018","S10",-3.66066065198993,16.5911771692675,"Tenericutes",0,"Sheep6","Adult","Male"
"ASV1018","S12",-2.87572591313509,8.39318735132954,"Tenericutes",0,"Sheep20","Lamb","Female"
"ASV1018","S14",-3.25956511320802,11.4019419095548,"Tenericutes",0,"Sheep24","Lamb","Male"
"ASV1018","S18",-2.35024416810658,7.56647686220596,"Tenericutes",0,"Sheep28","Lamb","Male"
"ASV1018","S20",-4.40210114497549,7.49994438781717,"Tenericutes",0,"Sheep14","Adult","Female"
"ASV1018","S21",-4.2587998919292,8.83732563586267,"Tenericutes",0,"Sheep15","Adult","Male"
"ASV1018","S23",-4.67877165864024,12.6757259142364,"Tenericutes",0,"Sheep12","Adult","Female"
"ASV1018","S25",-4.75484736729882,12.5687307599742,"Tenericutes",0,"Sheep7","Adult","Female"
"ASV1018","S28",6.94492067727288,0.0190144141182685,"Tenericutes",165,"Sheep17","Lamb","Female"
"ASV1018","S31",-3.66327526555505,8.42514821975339,"Tenericutes",0,"Sheep25","Lamb","Female"
"ASV1018","S32",5.47299611591982,0.0571811138779663,"Tenericutes",39,"Sheep27","Lamb","Male"
"ASV1018","S35",-2.52926197239777,11.3534300849585,"Tenericutes",0,"Sheep30","Lamb","Female"
"ASV1018","S37",-4.0717916059426,11.3723658280553,"Tenericutes",0,"Sheep29","Lamb","Male"
"ASV1018","S40",-4.33256436550595,11.1821023350934,"Tenericutes",0,"Sheep4","Adult","Male"
"ASV1018","S43",-4.32783584429183,13.4898504987538,"Tenericutes",0,"Sheep10","Adult","Male"
"ASV1018","S44",-4.71044250649815,9.20383211957543,"Tenericutes",0,"Sheep11","Adult","Female"
"ASV1018","S45",-3.71920365032186,11.2872963088949,"Tenericutes",0,"Sheep9","Adult","Female"
"ASV1018","S47",5.16608639169859,0.0547907537588761,"Tenericutes",56,"Sheep19","Lamb","Male"
"ASV1018","S52",-3.14577659981433,9.40100742909216,"Tenericutes",0,"Sheep23","Lamb","Male"
"ASV1018","S53",-2.55026827185812,8.99142324378654,"Tenericutes",0,"Sheep26","Lamb","Female"
"ASV1018","S54",-3.8598857660741,11.71348553681,"Tenericutes",0,"Sheep16","Lamb","Male"
"ASV1018","S55",-4.40412632125635,8.52168659762651,"Tenericutes",0,"Sheep3","Adult","Female"
